iter	Passed	Remaining
395	627	956
396	628	954
397	629	952
398	631	950
399	632	949
400	634	947
401	635	945
402	636	943
403	638	941
404	639	939
405	640	937
406	642	935
407	643	933
408	645	932
409	646	930
410	648	928
411	649	926
412	650	925
413	652	923
414	653	921
415	655	920
416	656	918
417	658	916
418	659	914
419	660	912
420	662	910
421	663	909
422	665	907
423	666	905
424	668	903
425	669	902
426	670	900
427	672	898
428	673	896
429	674	894
430	676	892
431	677	891
432	679	889
433	680	887
434	682	886
435	683	884
436	684	882
437	686	880
438	687	878
439	689	876
440	690	875
441	691	873
442	693	871
443	694	869
444	696	868
445	697	866
446	698	864
447	700	862
448	701	861
449	703	859
450	704	857
451	706	856
452	707	854
453	708	852
454	710	850
455	711	848
456	713	847
457	715	846
458	716	844
459	718	843
460	719	841
461	721	839
462	722	837
463	723	835
464	725	834
465	726	832
466	728	831
467	729	829
468	731	828
469	733	827
470	734	825
471	736	823
472	737	821
473	738	819
474	740	818
475	742	817
476	744	816
477	745	814
478	747	812
479	748	811
480	749	809
481	751	807
482	752	805
483	754	803
484	755	802
485	756	800
486	758	798
487	759	797
488	761	795
489	762	793
490	764	792
491	765	790
492	766	788
493	768	787
494	769	785
495	771	783
496	772	781
497	773	780
498	775	778
499	776	776
500	778	775
501	779	773
502	780	771
503	782	769
504	783	767
505	785	766
506	786	764
507	788	763
508	789	761
509	790	759
510	792	758
511	793	756
512	794	754
513	796	752
514	797	751
515	799	749
516	800	748
517	802	746
518	803	744
519	805	743
520	806	741
521	807	739
522	809	737
523	810	736
524	812	735
525	813	733
526	815	731
527	816	730
528	818	728
529	819	726
530	820	725
531	822	723
532	823	721
533	825	720
534	826	718
535	827	716
536	829	715
537	830	713
538	832	711
539	833	709
540	834	708
541	836	707
542	838	705
543	840	704
544	841	702
545	843	701
546	844	699
547	846	697
548	847	696
549	849	694
550	850	692
551	851	691
552	853	689
553	854	687
554	855	686
555	857	684
556	858	682
557	860	681
558	862	680
559	863	678
560	865	677
561	866	675
562	868	674
563	869	672
564	871	670
565	872	669
566	874	667
567	875	665
568	877	664
569	878	662
570	880	661
571	882	659
572	883	658
573	884	656
574	886	655
575	887	653
576	889	651
577	890	650
578	892	648
579	893	646
580	894	645
581	897	644
582	898	642
583	900	641
584	901	639
585	902	637
586	904	636
587	905	634
588	907	633
589	908	631
590	910	630
591	912	628
592	913	626
593	914	625
594	916	623
595	918	622
596	919	620
597	920	618
598	922	617
599	923	615
600	924	614
601	926	612
602	928	611
603	929	609
604	930	607
605	932	606
606	933	604
607	935	602
608	936	601
609	937	599
610	939	598
611	940	596
612	942	594
613	943	593
614	944	591
615	946	589
616	947	588
617	948	586
618	950	584
619	951	583
620	953	581
621	955	580
622	956	578
623	957	577
624	959	575
625	961	574
626	963	572
627	964	571
628	966	569
629	967	568
630	969	566
631	970	565
632	972	563
633	973	562
634	975	560
635	976	558
636	978	557
637	980	556
638	981	554
639	983	553
640	984	551
641	986	549
642	987	548
643	989	546
644	990	545
645	992	543
646	993	542
647	995	540
648	997	539
649	998	537
650	1000	536
651	1001	534
652	1002	532
653	1004	531
654	1005	529
655	1007	528
656	1008	526
657	1010	525
658	1011	523
659	1013	521
660	1014	520
661	1015	518
662	1017	517
663	1018	515
664	1020	514
665	1021	512
666	1023	510
667	1024	509
668	1026	507
669	1027	506
670	1028	504
671	1030	502
672	1031	501
673	1033	499
674	1034	498
675	1036	496
676	1037	495
677	1039	493
678	1040	491
679	1042	490
680	1043	488
681	1045	487
682	1047	486
683	1049	484
684	1050	483
685	1051	481
686	1053	479
687	1054	478
688	1056	476
689	1058	475
690	1059	473
691	1060	472
692	1062	470
693	1063	469
694	1065	467
695	1067	466
696	1068	464
697	1069	462
698	1071	461
699	1072	459
700	1073	458
701	1075	456
702	1076	454
703	1078	453
704	1079	451
705	1081	450
706	1082	448
707	1083	446
708	1085	445
709	1086	443
710	1087	442
711	1089	440
712	1090	439
713	1092	437
714	1093	435
715	1094	434
716	1096	432
717	1098	431
718	1100	429
719	1101	428
720	1103	426
721	1104	425
722	1106	423
723	1108	422
724	1109	420
725	1111	419
726	1112	417
727	1114	416
728	1115	414
729	1116	413
730	1118	411
731	1119	409
732	1120	408
733	1122	406
734	1123	405
735	1124	403
736	1126	401
737	1127	400
738	1128	398
739	1130	397
740	1131	395
741	1132	393
742	1134	392
743	1135	390
744	1137	389
745	1138	387
746	1139	386
747	1141	384
748	1142	382
749	1144	381
750	1145	379
751	1146	378
752	1148	376
753	1149	375
754	1151	373
755	1153	372
756	1154	370
757	1155	368
758	1157	367
759	1158	365
760	1159	364
761	1161	362
762	1162	361
763	1164	359
764	1165	358
765	1167	356
766	1168	355
767	1169	353
768	1171	351
769	1172	350
770	1174	348
771	1175	347
772	1176	345
773	1178	344
774	1180	342
775	1181	341
776	1183	339
777	1184	337
778	1185	336
779	1187	334
780	1188	333
781	1189	331
782	1191	330
783	1192	328
784	1193	326
785	1195	325
786	1196	323
787	1198	322
788	1199	320
789	1201	319
790	1202	317
791	1203	316
792	1205	314
793	1206	312
794	1207	311
795	1209	309
796	1210	308
797	1211	306
798	1213	305
799	1214	303
800	1216	302
801	1217	300
802	1218	299
803	1220	297
804	1221	295
805	1222	294
806	1224	292
807	1225	291
808	1226	289
809	1227	288
810	1229	286
811	1230	284
812	1231	283
813	1233	281
814	1234	280
815	1236	278
816	1237	277
817	1238	275
818	1239	274
819	1241	272
820	1242	270
821	1244	269
822	1245	267
823	1246	266
824	1248	264
825	1249	263
826	1250	261
827	1252	260
828	1253	258
829	1255	257
830	1256	255
831	1257	253
832	1258	252
833	1260	250
834	1261	249
835	1262	247
836	1264	246
837	1265	244
838	1266	243
839	1268	241
840	1269	239
841	1270	238
842	1272	236
843	1273	235
844	1274	233
845	1276	232
846	1277	230
847	1278	229
848	1280	227
849	1281	226
850	1282	224
851	1284	223
852	1285	221
853	1287	220
854	1288	218
855	1289	217
856	1291	215
857	1292	213
858	1294	212
859	1295	210
860	1297	209
861	1298	207
862	1300	206
863	1301	204
864	1302	203
865	1304	201
866	1305	200
867	1307	198
868	1308	197
869	1310	195
870	1311	194
871	1313	192
872	1314	191
873	1315	189
874	1317	188
875	1318	186
876	1320	185
877	1321	183
878	1323	182
879	1324	180
880	1326	179
881	1327	177
882	1329	176
883	1330	174
884	1332	173
885	1333	171
886	1335	170
887	1336	168
888	1337	167
889	1339	165
890	1340	163
891	1341	162
892	1343	161
893	1345	159
894	1346	157
895	1347	156
896	1349	154
897	1350	153
898	1352	151
899	1353	150
900	1355	148
901	1356	147
902	1357	145
903	1359	144
904	1360	142
905	1362	141
906	1363	139
907	1364	138
908	1366	136
909	1367	135
910	1369	133
911	1370	132
912	1372	130
913	1373	129
914	1375	127
915	1376	126
916	1378	124
917	1379	123
918	1381	121
919	1382	120
920	1384	118
921	1385	117
922	1387	115
923	1388	114
924	1389	112
925	1391	111
926	1392	109
927	1394	108
928	1395	106
929	1397	105
930	1398	103
931	1400	102
932	1401	100
933	1402	99
934	1404	97
935	1406	96
936	1407	94
937	1408	93
938	1410	91
939	1411	90
940	1413	88
941	1414	87
942	1415	85
943	1417	84
944	1418	82
945	1420	81
946	1422	79
947	1423	78
948	1425	76
949	1426	75
950	1427	73
951	1428	72
952	1430	70
953	1432	69
954	1433	67
955	1434	66
956	1436	64
957	1437	63
958	1439	61
959	1441	60
960	1442	58
961	1443	57
962	1445	55
963	1446	54
964	1448	52
965	1449	51
966	1450	49
967	1452	48
968	1453	46
969	1455	45
970	1456	43
971	1457	41
972	1459	40
973	1460	38
974	1462	37
975	1463	35
976	1464	34
977	1466	32
978	1467	31
979	1469	29
980	1470	28
981	1471	26
982	1473	25
983	1474	23
984	1476	22
985	1477	20
986	1479	19
987	1480	17
988	1481	16
989	1483	14
990	1484	13
991	1486	11
992	1487	10
993	1488	8
994	1490	7
995	1491	5
996	1493	4
997	1495	2
998	1496	1
999	1498	0
