iter	RMSE
0	38.68995227
1	35.9241744
2	33.45594332
3	31.25198867
4	29.33091017
5	27.65418654
6	26.18767261
7	24.92160094
8	23.80556052
9	22.85383555
10	22.01198428
11	21.28293198
12	20.66476914
13	20.1275585
14	19.66698771
15	19.26345282
16	18.92805597
17	18.64072998
18	18.39076337
19	18.17146977
20	17.99553262
21	17.83319709
22	17.70996393
23	17.59807715
24	17.49755957
25	17.41372022
26	17.33926679
27	17.28088728
28	17.23358764
29	17.17453604
30	17.12237734
31	17.08123831
32	17.04663043
33	17.01191927
34	16.98295298
35	16.95286926
36	16.93300368
37	16.90845357
38	16.88852408
39	16.86645076
40	16.84677652
41	16.82091775
42	16.80525896
43	16.79309966
44	16.78194628
45	16.76309772
46	16.74638765
47	16.73543515
48	16.72855007
49	16.71793665
50	16.70862782
51	16.69501826
52	16.68772607
53	16.67170575
54	16.66363368
55	16.65072886
56	16.64363323
57	16.6347276
58	16.6232332
59	16.6171163
60	16.60410681
61	16.5973113
62	16.5905444
63	16.57548808
64	16.56577694
65	16.55714588
66	16.54386523
67	16.53254005
68	16.52845786
69	16.52411519
70	16.51542888
71	16.50514457
72	16.49677638
73	16.49206488
74	16.48459907
75	16.47798054
76	16.47313702
77	16.45979548
78	16.4563041
79	16.45061406
80	16.44783726
81	16.43561251
82	16.42793594
83	16.42059502
84	16.41645966
85	16.40583675
86	16.40283633
87	16.39287501
88	16.38537386
89	16.37857997
90	16.37279662
91	16.36542544
92	16.3571339
93	16.35051707
94	16.34386391
95	16.33996591
96	16.33616703
97	16.32662793
98	16.31715071
99	16.30942422
100	16.30418827
101	16.2982505
102	16.29069395
103	16.28476252
104	16.27618205
105	16.26722416
106	16.25983559
107	16.25464522
108	16.24971836
109	16.24139488
110	16.23499942
111	16.22806352
112	16.21802305
113	16.21427939
114	16.20491038
115	16.19755681
116	16.18707124
117	16.18306227
118	16.17795154
119	16.16912409
120	16.16556552
121	16.15442309
122	16.14896391
123	16.14107688
124	16.13231017
125	16.12692232
126	16.11984933
127	16.11544094
128	16.10912406
129	16.10158879
130	16.09037799
131	16.08474726
132	16.08115391
133	16.07399923
134	16.07031821
135	16.06566881
136	16.05947276
137	16.05657809
138	16.05186441
139	16.0437017
140	16.03863941
141	16.02625675
142	16.0200915
143	16.0135399
144	16.00712492
145	16.00307778
146	15.99844979
147	15.99176594
148	15.9861593
149	15.9785458
150	15.96840272
151	15.96552749
152	15.95973232
153	15.95537677
154	15.95085602
155	15.94326655
156	15.93638125
157	15.93056637
158	15.92549137
159	15.91963407
160	15.91327176
161	15.90852376
162	15.90406375
163	15.89998612
164	15.89408245
165	15.88834263
166	15.88181265
167	15.88005825
168	15.87189522
169	15.86679333
170	15.86398547
171	15.85908882
172	15.85157336
173	15.84609972
174	15.84222249
175	15.83702577
176	15.82328048
177	15.81920767
178	15.81247408
179	15.80837072
180	15.80719234
181	15.80285936
182	15.79720933
183	15.79001132
184	15.78698979
185	15.78360403
186	15.78017903
187	15.7733076
188	15.76372352
189	15.7574569
190	15.75356506
191	15.74477969
192	15.74093547
193	15.73858318
194	15.7332152
195	15.72786485
196	15.72330133
197	15.71779607
198	15.70995428
199	15.70493209
200	15.70041255
201	15.69353292
202	15.68829272
203	15.6837302
204	15.680657
205	15.67768163
206	15.67398332
207	15.66609017
208	15.65944519
209	15.65322843
210	15.64756621
211	15.64201179
212	15.63722776
213	15.63211652
214	15.627924
215	15.61868862
216	15.61453104
217	15.60950161
218	15.60414777
219	15.59744984
220	15.59115184
221	15.58731303
222	15.58330785
223	15.58006478
224	15.57581849
225	15.56735036
226	15.56116214
227	15.55581394
228	15.55331195
229	15.55115972
230	15.54624635
231	15.53979018
232	15.53347723
233	15.53177187
234	15.52547335
235	15.52011203
236	15.51243376
237	15.5062937
238	15.50021325
239	15.49614742
240	15.49127618
241	15.48381891
242	15.47796952
243	15.47405089
244	15.46936083
245	15.46106975
246	15.45444965
247	15.44961737
248	15.44077612
249	15.43732154
250	15.43316155
251	15.43184018
252	15.42548542
253	15.41864687
254	15.4151922
255	15.41359487
256	15.40978572
257	15.40333648
258	15.39534331
259	15.39277237
260	15.38892882
261	15.38501499
262	15.37912387
263	15.37620091
264	15.36982929
265	15.36292157
266	15.35904549
267	15.35230931
268	15.34610065
269	15.33992805
270	15.33443054
271	15.3286227
272	15.32636693
273	15.32068176
274	15.3150937
275	15.30726265
276	15.30067025
277	15.29162653
278	15.28520442
279	15.2807596
280	15.27832046
281	15.27327528
282	15.26796027
283	15.26099867
284	15.25656982
285	15.25260425
286	15.24353869
287	15.24165255
288	15.23668951
289	15.23464662
290	15.23148342
291	15.2279034
292	15.22145956
293	15.216468
294	15.21260481
295	15.20437483
296	15.19536857
297	15.19173183
298	15.18362042
299	15.17545762
300	15.17135709
301	15.16501733
302	15.15501917
303	15.15235921
304	15.14997631
305	15.14568797
306	15.14275032
307	15.1390121
308	15.13073634
309	15.12479343
310	15.11870378
311	15.11121786
312	15.10690841
313	15.1014631
314	15.09586865
315	15.08975651
316	15.08621035
317	15.08332457
318	15.0780511
319	15.0716122
320	15.06999559
321	15.06486782
322	15.06309926
323	15.05836062
324	15.05207608
325	15.04755161
326	15.04133635
327	15.03745721
328	15.03299574
329	15.0274004
330	15.0250361
331	15.02479895
332	15.01974416
333	15.01706661
334	15.01212889
335	15.0062264
336	15.00082494
337	14.99526318
338	14.98837382
339	14.9840534
340	14.97736959
341	14.97209117
342	14.96695487
343	14.96328535
344	14.95602753
345	14.95332948
346	14.95001283
347	14.94616452
348	14.93945028
349	14.93419284
350	14.9284524
351	14.92809795
352	14.92481392
353	14.92031398
354	14.91659686
355	14.91229309
356	14.90752346
357	14.90195282
358	14.89699221
359	14.88847832
360	14.88221759
361	14.87939849
362	14.87702744
363	14.87148079
364	14.86662691
365	14.86242603
366	14.85749253
367	14.8537023
368	14.84870597
369	14.84113133
370	14.83444962
371	14.82917483
372	14.82655845
373	14.82484468
374	14.82111455
375	14.81724181
376	14.81425427
377	14.81114781
378	14.80517697
379	14.80050172
380	14.79620989
381	14.79042315
382	14.78617121
383	14.78165335
384	14.77949518
385	14.77631277
386	14.77216329
387	14.7688499
388	14.76737629
389	14.76585799
390	14.76212951
391	14.75865264
392	14.75517827
393	14.75166
394	14.74834972
395	14.74556126
396	14.73961623
397	14.73223584
398	14.72693503
399	14.72291319
400	14.72027609
401	14.71857896
402	14.71489484
403	14.71281964
404	14.70961083
405	14.70298996
406	14.69731611
407	14.69157907
408	14.68716775
409	14.67891185
410	14.67663214
411	14.67395521
412	14.66889618
413	14.66445087
414	14.66031117
415	14.65703274
416	14.65530808
417	14.65119223
418	14.64405387
419	14.6412858
420	14.63660181
421	14.63175128
422	14.62838576
423	14.6228509
424	14.6188854
425	14.61132149
426	14.60727033
427	14.60236438
428	14.59989302
429	14.5975155
430	14.59506971
431	14.59023939
432	14.58517207
433	14.5794862
434	14.57715051
435	14.57311994
436	14.56823475
437	14.56225811
438	14.55703994
439	14.55084899
440	14.54453254
441	14.53723164
442	14.53425163
443	14.53131099
444	14.52721212
445	14.52447017
446	14.52041446
447	14.51546286
448	14.51195772
449	14.50584343
450	14.50280824
451	14.49780981
452	14.49594828
453	14.48907295
454	14.48660711
455	14.48193124
456	14.47922834
457	14.47804604
458	14.47409143
459	14.46931479
460	14.4664603
461	14.46181622
462	14.45835597
463	14.45037591
464	14.44672008
465	14.44122716
466	14.4380734
467	14.43439968
468	14.4334786
469	14.43107473
470	14.42828396
471	14.42427922
472	14.42134116
473	14.41757496
474	14.41470421
475	14.41165128
476	14.40833667
477	14.4065777
478	14.40152008
479	14.39487387
480	14.39057658
481	14.38676627
482	14.38432903
483	14.38173754
484	14.3807512
485	14.37457518
486	14.37126092
487	14.36809201
488	14.36496655
489	14.3600941
490	14.35744594
491	14.35156932
492	14.34974379
493	14.3438553
494	14.34055953
495	14.33946983
496	14.33278964
497	14.3285341
498	14.32538959
499	14.32274284
500	14.31726649
501	14.31396429
502	14.30962978
503	14.30792545
504	14.30053474
505	14.29699617
506	14.2928678
507	14.2898282
508	14.28565103
509	14.28555495
510	14.28270387
511	14.28050599
512	14.27731004
513	14.27168416
514	14.26886051
515	14.26525872
516	14.2596322
517	14.25403589
518	14.24967645
519	14.2477963
520	14.24442775
521	14.24127626
522	14.23868353
523	14.23512168
524	14.23081779
525	14.22684662
526	14.22230713
527	14.21581485
528	14.21017188
529	14.2045125
530	14.20214177
531	14.20034786
532	14.19593419
533	14.19229519
534	14.18760905
535	14.18239237
536	14.17894849
537	14.17694581
538	14.17184653
539	14.16449968
540	14.16028873
541	14.15775574
542	14.15745794
543	14.15427679
544	14.15026897
545	14.14795858
546	14.14407511
547	14.13958862
548	14.13788557
549	14.13437012
550	14.13377715
551	14.12888945
552	14.12619827
553	14.12350407
554	14.11994203
555	14.11548665
556	14.11268261
557	14.10918994
558	14.10219627
559	14.09724861
560	14.09390987
561	14.09047648
562	14.08464446
563	14.08036155
564	14.07614579
565	14.07077787
566	14.0657991
567	14.06178998
568	14.05723054
569	14.0537148
570	14.04833288
571	14.04493333
572	14.04156457
573	14.03897172
574	14.03419484
575	14.03078298
576	14.02651353
577	14.02171483
578	14.01701088
579	14.01635796
580	14.01230428
581	14.00724517
582	14.00482171
583	14.00056272
584	13.99678415
585	13.9921031
586	13.98727532
587	13.98286718
588	13.97997455
589	13.97747789
590	13.97274569
591	13.97066636
592	13.96625946
593	13.96410672
594	13.9589249
595	13.95482492
596	13.95174983
597	13.94682707
598	13.94284475
599	13.93839586
600	13.93636562
601	13.9355257
602	13.93100254
603	13.92856646
604	13.9240254
605	13.92229405
606	13.91626306
607	13.91247959
608	13.90954608
609	13.90591419
610	13.90332026
611	13.89998605
612	13.89933082
613	13.89617028
614	13.89117672
615	13.88795841
616	13.88279749
617	13.87729623
618	13.87463246
619	13.87210593
620	13.86660874
621	13.86351206
622	13.8599408
623	13.85806416
624	13.85175096
625	13.84839423
626	13.84525516
627	13.83778199
628	13.83463584
629	13.82992461
630	13.82583358
631	13.82242018
632	13.81593595
633	13.81107755
634	13.80623302
635	13.80275996
636	13.79961441
637	13.79371341
638	13.79002621
639	13.7861474
640	13.78164156
641	13.77726623
642	13.77389695
643	13.77092443
644	13.76655069
645	13.76497908
646	13.76155668
647	13.75722156
648	13.75238894
649	13.74886759
650	13.74557705
651	13.74271714
652	13.74043286
653	13.73589207
654	13.73280098
655	13.72857073
656	13.72443202
657	13.71942338
658	13.71600039
659	13.71330532
660	13.71179668
661	13.70887438
662	13.70726991
663	13.70382308
664	13.69900337
665	13.69526295
666	13.69033658
667	13.68659002
668	13.68216495
669	13.677954
670	13.67512257
671	13.67318728
672	13.67018585
673	13.66922581
674	13.66830645
675	13.6637353
676	13.66086826
677	13.65765396
678	13.65578475
679	13.6540811
680	13.65014373
681	13.6477155
682	13.64294066
683	13.64049539
684	13.63569388
685	13.63249116
686	13.6303371
687	13.62635618
688	13.62306776
689	13.62217475
690	13.61793919
691	13.61198148
692	13.61049196
693	13.60694928
694	13.60365934
695	13.60068195
696	13.59721587
697	13.595375
698	13.59321685
699	13.58817046
700	13.58345713
701	13.58105825
702	13.5778823
703	13.57074315
704	13.5664559
705	13.56416153
706	13.56095608
707	13.55875503
708	13.55407147
709	13.55142337
710	13.54683558
711	13.54440845
712	13.53895282
713	13.53512486
714	13.53233272
715	13.52641403
716	13.52245418
717	13.51754857
718	13.51381586
719	13.51083102
720	13.50875153
721	13.50616851
722	13.50257045
723	13.50000775
724	13.49771114
725	13.49403171
726	13.49236795
727	13.48955488
728	13.48613716
729	13.48362571
730	13.48349036
731	13.48117572
732	13.47599529
733	13.47475631
734	13.47268814
735	13.46793537
736	13.46415859
737	13.46157361
738	13.45775162
739	13.45429752
740	13.45141172
741	13.44540265
742	13.44361264
743	13.4397847
744	13.43834989
745	13.43609463
746	13.43288535
747	13.42604629
748	13.42293223
749	13.4196457
750	13.41750727
751	13.41561154
752	13.4124594
753	13.40874682
754	13.40561086
755	13.40108434
756	13.39857025
757	13.39537986
758	13.39267158
759	13.38886122
760	13.3845539
761	13.38025533
762	13.3778968
763	13.37320342
764	13.36944888
765	13.36815997
766	13.36431886
767	13.361998
768	13.35663141
769	13.35463628
770	13.3508627
771	13.34717791
772	13.34491071
773	13.3412312
774	13.3391634
775	13.33478787
776	13.32860961
777	13.32500669
778	13.32332714
779	13.32017453
780	13.31493549
781	13.3119427
782	13.30751832
783	13.30431204
784	13.30100125
785	13.30041631
786	13.29597931
787	13.29386372
788	13.29024306
789	13.28856115
790	13.284013
791	13.28239814
792	13.27872086
793	13.27708796
794	13.27200703
795	13.26995464
796	13.26729217
797	13.26530784
798	13.26290419
799	13.25935826
800	13.25562538
801	13.2534419
802	13.25036032
803	13.24636182
804	13.24407898
805	13.23986087
806	13.23511019
807	13.23213381
808	13.22859521
809	13.22242996
810	13.2166551
811	13.21354149
812	13.21302863
813	13.2095685
814	13.20785503
815	13.20380042
816	13.20028182
817	13.19762697
818	13.1971973
819	13.1942377
820	13.18937411
821	13.18551798
822	13.18224394
823	13.18004091
824	13.17741596
825	13.17339543
826	13.16877473
827	13.1662508
828	13.16362343
829	13.16069157
830	13.15769481
831	13.153095
832	13.1513978
833	13.14989669
834	13.14782426
835	13.14575859
836	13.14339822
837	13.14030983
838	13.13737678
839	13.13726398
840	13.13646198
841	13.1336518
842	13.1311776
843	13.12521574
844	13.11849206
845	13.11450253
846	13.11231515
847	13.10879091
848	13.10584396
849	13.1029888
850	13.09978358
851	13.09703764
852	13.093996
853	13.09065325
854	13.08884073
855	13.08494407
856	13.08175647
857	13.08153442
858	13.07832265
859	13.075701
860	13.07364783
861	13.07013161
862	13.06855762
863	13.06641948
864	13.06443706
865	13.05987735
866	13.05328182
867	13.0498053
868	13.04524677
869	13.04273991
870	13.03721266
871	13.03309881
872	13.03047525
873	13.03032404
874	13.02719272
875	13.02442951
876	13.02128043
877	13.01801332
878	13.01525677
879	13.01365783
880	13.01013056
881	13.00776269
882	13.00452207
883	13.00060323
884	12.99568789
885	12.9922945
886	12.98870713
887	12.98577626
888	12.98202836
889	12.97903154
890	12.97663778
891	12.97294633
892	12.96821765
893	12.964871
894	12.96129162
895	12.95881223
896	12.95662272
897	12.95231113
898	12.94837643
899	12.94320752
900	12.93966405
901	12.93652397
902	12.93299286
903	12.93237135
904	12.92822895
905	12.92621242
906	12.92119397
907	12.91733413
908	12.91261477
909	12.90823702
910	12.90524049
911	12.90360047
912	12.90056627
913	12.89859031
914	12.894626
915	12.89199701
916	12.8886483
917	12.88292236
918	12.87906366
919	12.87705678
920	12.87247108
921	12.87032951
922	12.86656731
923	12.86287083
924	12.85966958
925	12.8562422
926	12.85532971
927	12.85196621
928	12.84853044
929	12.8433267
930	12.84047221
931	12.83718047
932	12.83532972
933	12.83186822
934	12.82799697
935	12.82370591
936	12.82044257
937	12.81842034
938	12.81630494
939	12.81442986
940	12.81293715
941	12.80912878
942	12.80829395
943	12.80654257
944	12.80466028
945	12.80222201
946	12.80159206
947	12.79995368
948	12.79699582
949	12.79426027
950	12.79425641
951	12.79104066
952	12.78946084
953	12.78666261
954	12.7838543
955	12.77918994
956	12.77502115
957	12.77392986
958	12.77172028
959	12.76796994
960	12.76511016
961	12.76183312
962	12.7586815
963	12.75482837
964	12.75278523
965	12.74952291
966	12.74425461
967	12.7410508
968	12.73708102
969	12.73375603
970	12.72969038
971	12.72749245
972	12.72420319
973	12.72209305
974	12.71997648
975	12.7186981
976	12.71416051
977	12.70974061
978	12.70756924
979	12.70471041
980	12.70020824
981	12.6966382
982	12.69400446
983	12.68984274
984	12.68649899
985	12.67888371
986	12.67607115
987	12.67266945
988	12.66759366
989	12.66509138
990	12.66333741
991	12.66158232
992	12.65921357
993	12.65549845
994	12.65345167
995	12.65006465
996	12.64724911
997	12.64276168
998	12.63966768
999	12.6386425
